symbol,last_updated,country,region,name,exchange,currency,data_source,industry,sector,market_cap,revenue,profit_margin,operating_margin,return_on_equity,return_on_assets,forward_pe,trailing_pe,price_to_sales,price_to_book,enterprise_value,employees,website,revenue_annual,operating_income,net_income,ebitda,gross_profit,fiscal_year_end,total_assets,total_debt,total_equity,cash,current_assets,current_liabilities,current_ratio,completeness_score
AZN,2025-03-21T10:44:28.996004,United Kingdom,Europe,Astrazeneca PLC,NMS,USD,"investpy, Yahoo Finance",Drug Manufacturers - General,Healthcare,237457620992.0,54072999936.0,0.1301,0.22718,0.17593999,0.078779995,13.938069,34.00889,4.3914266,2.909063,143667806208.0,94300.0,https://www.astrazeneca.com,54073000000.0,10003000000.0,7035000000.0,17121000000.0,43866000000.0,2024-12-31,104035000000.0,30114000000.0,,5488000000.0,25827000000.0,27866000000.0,0.9268283930237565,6
AZN,2025-03-21T10:44:28.996004,United Kingdom,Europe,Astrazeneca PLC,NMS,USD,"investpy, Yahoo Finance",Drug Manufacturers - General,Healthcare,237457620992.0,54072999936.0,0.1301,0.22718,0.17593999,0.078779995,13.938069,34.00889,4.3914266,2.909063,143667806208.0,94300.0,https://www.astrazeneca.com,54073000000.0,10003000000.0,7035000000.0,17121000000.0,43866000000.0,2024-12-31,104035000000.0,30114000000.0,,5488000000.0,25827000000.0,27866000000.0,0.9268283930237565,6
INTC,2025-03-21T10:54:18.343560,Belgium,Europe,Intel Corporation,NMS,USD,"investpy, Yahoo Finance",Semiconductors,Technology,103746789376.0,53100998656.0,-0.35321,-0.18548,-0.17891,-0.01233,24.701029,,1.9537635,1.0451015,138152804352.0,108900.0,https://www.intel.com,53101000000.0,-4708000000.0,-18756000000.0,1203000000.0,17345000000.0,2024-12-31,196485000000.0,50011000000.0,,8249000000.0,47324000000.0,35666000000.0,1.3268659227275277,6
PH,2025-03-21T10:54:23.978239,Germany,Europe,Parker-Hannifin Corporation,NYQ,USD,"investpy, Yahoo Finance",Specialty Industrial Machinery,Industrials,80442064896.0,19907747840.0,0.15866,0.20608,0.25852,0.08776,21.220108,25.772276,4.0407414,6.13192,89096216576.0,61120.0,https://investors.parker.com,19929606000.0,3812613000.0,2844215000.0,5028229000.0,7127790000.0,2024-06-30,29297842000.0,10560099000.0,,422027000.0,6798624000.0,7313309000.0,0.9296235124209848,6
CRH,2025-03-21T10:44:12.882603,Ireland,Europe,CRH PLC,NYQ,USD,"investpy, Yahoo Finance",Building Materials,Basic Materials,66120249344.0,35571998720.0,0.098170005,0.13878,0.15835,0.06282,16.077429,19.440239,1.8587724,3.0591516,79105196032.0,79800.0,https://www.crh.com,35572000000.0,4849000000.0,3492000000.0,7124000000.0,12701000000.0,2024-12-31,50613000000.0,15307000000.0,,3720000000.0,14083000000.0,10296000000.0,1.367812742812743,6
CRH,2025-03-21T10:44:12.882603,Ireland,Europe,CRH PLC,NYQ,USD,"investpy, Yahoo Finance",Building Materials,Basic Materials,66120249344.0,35571998720.0,0.098170005,0.13878,0.15835,0.06282,16.077429,19.440239,1.8587724,3.0591516,79105196032.0,79800.0,https://www.crh.com,35572000000.0,4849000000.0,3492000000.0,7124000000.0,12701000000.0,2024-12-31,50613000000.0,15307000000.0,,3720000000.0,14083000000.0,10296000000.0,1.367812742812743,6
TRV,2025-03-21T10:54:05.296914,Austria,Europe,"The Travelers Companies, Inc.",NYQ,USD,"investpy, Yahoo Finance",Insurance - Property & Casualty,Financial Services,58844729344.0,46422999040.0,0.10767999,0.22418,0.18941,0.0317,12.213648,12.09413,1.267577,2.1106648,61687615488.0,34000.0,https://www.travelers.com,46428000000.0,,4999000000.0,,,2024-12-31,133189000000.0,8033000000.0,,699000000.0,,,,6
GIS,2025-03-21T10:54:17.561242,Switzerland,Europe,"General Mills, Inc.",NYQ,USD,"investpy, Yahoo Finance",Packaged Foods,Consumer Defensive,31930615808.0,19644299264.0,0.13024999,0.16707,0.26834,0.07201,12.4063835,12.815384,1.6254393,3.4464211,45845987328.0,34000.0,https://www.generalmills.com,19857200000.0,3673100000.0,2496600000.0,4079000000.0,6932100000.0,2024-05-31,31469900000.0,13315100000.0,,418000000.0,4580900000.0,7033100000.0,0.6513344044589157,6
EBAY,2025-03-21T10:54:09.811579,Austria,Europe,eBay Inc.,NMS,USD,"investpy, Yahoo Finance",Internet Retail,Consumer Cyclical,30914439168.0,10282999808.0,0.19206,0.18573,0.34291,0.06874,12.708812,16.794935,3.0063639,6.0578938,32880439296.0,11500.0,https://www.ebayinc.com,10283000000.0,2318000000.0,1975000000.0,2861000000.0,7403000000.0,2024-12-31,19365000000.0,7863000000.0,,2433000000.0,7567000000.0,6098000000.0,1.2408986552968186,6
SW,2025-03-21T10:54:10.759386,Ireland,Europe,Smurfit WestRock plc,NYQ,USD,"investpy, Yahoo Finance",Packaging & Containers,Consumer Cyclical,23859521536.0,21109000192.0,0.01511,0.029979998,0.02708,0.0298,12.66205,55.7439,1.1303009,1.3650073,37551845376.0,100000.0,https://www.smurfitwestrock.com,21109000000.0,1402000000.0,319000000.0,2549000000.0,4195000000.0,2024-12-31,43759000000.0,13595000000.0,,855000000.0,10055000000.0,7333000000.0,1.3711986908495841,6
